,Description,Price,Image URL,Rate,Total Rate
0,KANGHAR Magnetic Case for Galaxy Z Fold 5 Crystal Clear [Compatible with Magsafe] Shockproof Anti-Yellowing Full Body Protective Phone Cover for Samsung Galaxy Z Fold 5-Clear,500,https://m.media-amazon.com/images/I/61+ZM0YVg4L._AC_UL320_.jpg,1.4,3
1,Replacement Remote Control for Samsung TV 4K UHD HDR Crystal QLED TV,99,https://m.media-amazon.com/images/I/51Ju-NHt2ML._AC_UL320_.jpg,5.0,1
2,"DUX DUCIS Case for Samsung S22 Ultra 2022, Premium PU Leather Magnetic Closure Full Protection Folio Flip Case Compatible with Samsung S22 Ultra Cover (Blue)",450,https://m.media-amazon.com/images/I/81CrepOroAL._AC_UL320_.jpg,,
3,Samsung S21 Plus Antishock Gorilla Airbag Case,150,https://m.media-amazon.com/images/I/61e86bjkhZL._AC_UL320_.jpg,,
4,"Samsung Galaxy A14 - Android Smartphone, Dual SIM, 128GB Storage, 4GB RAM, 4G - Black - 1 year Warranty","5,500",https://m.media-amazon.com/images/I/81Hpc6Lw4pL._AC_UL320_.jpg,3.2,24
5,"Samsung A24 Dual SIM, 8GB RAM, 128GB ROM - Silver","7,888",https://m.media-amazon.com/images/I/81M1JvMrQPL._AC_UL320_.jpg,3.8,5
6,"Samsung Galaxy A04s, Dual SIM, 4GB RAM, 64GB Storage, LTE, Black - 1 year Warranty","4,699",https://m.media-amazon.com/images/I/81AhRlrQwsL._AC_UL320_.jpg,4.3,22
7,"Samsung galaxy a34 dual sim mobile phone android, 8gb ram, 128gb, awesome graphite - 1 year Warranty","10,693",https://m.media-amazon.com/images/I/71RqyKk2eBL._AC_UL320_.jpg,4.0,46
8,"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 64GB Storage, 4GB RAM, Black - 1 year Warranty","4,949",https://m.media-amazon.com/images/I/81L701E6piL._AC_UL320_.jpg,3.4,18
9,SAMSUNG WASHING MACHINE 9KG 1400RPM DIGITAL INVERTER STEAM INOX WW90T4040CX1AS- (local warranty),"21,999",https://m.media-amazon.com/images/I/51H0kUL24XL._AC_UL320_.jpg,3.9,19
10,"Samsung Galaxy S23 Ultra, 256GB, 12GB, 5G Mobile Phone, Dual SIM, Android Smartphone, Green - SM-S918BZGCMEA","38,363",https://m.media-amazon.com/images/I/71lMeBh52wL._AC_UL320_.jpg,4.4,191
11,"SAMSUNG Galaxy A04 Dual SIM Smartphone - 3GB RAM, 32GB Storage, LTE, Copper - 1 year Warranty","3,549",https://m.media-amazon.com/images/I/81i6m64KmUL._AC_UL320_.jpg,3.8,16
12,"Samsung Galaxy A14 LTE, 128GB Storage, 4GB RAM, Silver, Dual SIM, Android Smartphone - 1 year Warranty","5,399",https://m.media-amazon.com/images/I/81B66GxivHL._AC_UL320_.jpg,3.7,20
